"glytoucan_ac","sequence_byonic"
"G00450EO","Hex(5)HexNAc(4)dHex(1)NeuAc(1)aldi(1) % 2079.76114819"
"G00451UT","Hex(7)HexNAc(6)dHex(1)NeuAc(4) % 3681.29614024"
"G00454PR","Hex(2) % 342.1162117"
"G00458CW","Hex(1)HexNAc(1)dHex(1)NeuAc(1) % 820.29608631"
"G00459BD","Hex(5)HexNAc(6)dHex(1)NeuAc(2) % 2774.99965997"
"G00459HM","Hex(3)HexNAc(1)NeuAc(1) % 998.34382444"
"G00461RR","Hex(2)HexNAc(2)dHex(2)NeuAc(1)S(1)aldi(1) % 1413.45865595"
"G00461ZN","Hex(3) % 504.1690352"
"G00463XD","Hex(3)HexNAc(7)dHex(1) % 2071.78255231"
"G00467QU","Hex(3)HexNAc(2)dHex(1)aldi(1) % 1058.40133935"
"G00468KU","Hex(4)HexNAc(4) % 1478.53934912"
"G00468NI","Hex(2)HexNAc(2)NeuGc(1) % 1055.36528817"
"G00469BS","Hex(2)HexNAc(4)dHex(1) % 1300.49161099"
"G00470UO","Hex(3)HexNAc(7)dHex(1) % 2071.78255231"
"G00480KJ","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G00482HJ","Hex(3)HexNAc(1)aldi(1) % 709.264057875"
"G00483IX","Hex(4) % 666.2218587"
"G00487XO","Hex(10)HexNAc(2) % 2044.69754491"
"G00488OU","Hex(5)HexNAc(4)dHex(4) % 2224.8238081"
"G00492CQ","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G00503EE","Hex(5)HexNAc(6)dHex(1) % 2192.8088267"
"G00504PK","Hex(5)HexNAc(5)dHex(1) % 1989.7294541"
"G00504PZ","Hex(4)HexNAc(5)aldi(1) % 1683.6343718"
"G00506NQ","Hex(3)HexNAc(2)dHex(3) % 1348.50150702"
"G00510MX","Hex(6) % 990.3275057"
"G00511LE","Hex(3)HexNAc(6) % 1722.64527083"
"G00514XC","Hex(8)HexNAc(7)dHex(1)NeuAc(4) % 4046.42833634"
"G00520NI","Hex(3)HexNAc(5)NeuAc(4) % 2683.94756477"
"G00523PT","Hex(1)HexNAc(3)dHex(1)aldi(1) % 937.375064955"
"G00523YW","Hex(8)HexNAc(7)NeuAc(2) % 3318.1795942"
"G00527ZE","Hex(2)HexNAc(2) % 748.27495691"
"G00531DC","Hex(4)HexNAc(1)NeuAc(1) % 1160.39664794"
"G00531ZU","Hex(5)HexNAc(5)dHex(1)NeuAc(1) % 2280.82487073"
"G00536FZ","Hex(5)HexNAc(6)dHex(1) % 2192.8088267"
"G00542QA","Hex(2)HexNAc(3)dHex(1) % 1097.41223838"
"G00544JF","Hex(5)HexNAc(4) % 1640.59217262"
"G00545NQ","Hex(5)HexNAc(5)dHex(1) % 1989.7294541"
"G00547ZN","Hex(1)HexNAc(2)S(1) % 666.178948"
"G00551JZ","Hex(6)HexNAc(5)dHex(1) % 2151.78227759"
"G00552RX","Hex(2)HexNAc(1)NeuAc(5) % 2000.67266748"
"G00553AN","Hex(6)HexNAc(5)dHex(1)NeuAc(2) % 2733.97311086"
"G00557UC","Hex(2)S(1) % 422.07302629"
"G00558IW","Hex(2)HexNAc(2) % 748.27495691"
"G00560KG","Hex(4)HexNAc(4)dHex(2)aldi(1) % 1772.67081693"
"G00565QJ","Hex(3)HexNAc(4) % 1316.48652562"
"G00568LN","HexNAc(4) % 830.32805512"
"G00580CJ","Hex(6)HexNAc(6)dHex(4)NeuAc(2) % 3375.22621008"
"G00582VL","Hex(5)HexNAc(4)dHex(1)S(1) % 1866.60689608"
"G00586TU","Hex(3)HexNAc(9) % 2331.88338865"
"G00586UK","Hex(6) % 990.3275057"
"G00588HO","Hex(10)HexNAc(2) % 2044.69754491"
"G00591PZ","Hex(6)HexNAc(5)dHex(1) % 2151.78227759"
"G00594AV","Hex(11)HexNAc(11)dHex(1) % 4180.52263073"
"G00594CD","Hex(3)HexNAc(2) % 910.32778041"
"G00598SQ","Hex(5)HexNAc(5)NeuAc(2) % 2425.8623785"
"G00601UG","Hex(4)HexNAc(2)NeuAc(2) % 1654.57143718"
"G00601VC","Hex(4)HexNAc(2) % 1072.38060391"
"G00606LX","Hex(7)HexNAc(6)dHex(5) % 3101.14610918"
"G00619DD","Hex(3) % 504.1690352"
"G00628MV","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G00629YK","Hex(6)HexNAc(2) % 1396.48625091"
"G00631XZ","Hex(3)HexNAc(2) % 910.32778041"
"G00633GI","Hex(6)HexNAc(4) % 1802.64499612"
"G00633PX","Hex(6)HexNAc(5)dHex(1)NeuAc(1)NeuGc(2) % 3057.05835676"
"G00641XC","Hex(1)HexNAc(2)NeuAc(1)S(1)aldi(1) % 959.290014705"
"G00644ZZ","Hex(10)HexNAc(2) % 2044.69754491"
"G00646SN","Hex(6)HexNAc(5)NeuAc(3)aldi(1) % 2881.0262687"
"G00647RA","Hex(4)HexNAc(1)dHex(1)NeuGc(1) % 1322.44947144"
"G00650AC","Hex(6)HexNAc(4)dHex(2) % 2094.76081386"
"G00653TI","Hex(3)HexNAc(4)dHex(1)aldi(1) % 1464.56008456"
"G00657YY","Hex(2)HexNAc(2)aldi(1) % 750.29060698"
"G00659GQ","Hex(1)HexNAc(1)dHex(1)NeuAc(1)S(2) % 980.20971549"
"G00662IB","Hex(6)HexNAc(5)NeuAc(3) % 2879.01061863"
"G00662UH","Hex(6)HexNAc(5)dHex(1)NeuAc(2) % 2733.97311086"
"G00665JQ","Hex(5)HexNAc(5)dHex(3)NeuAc(1) % 2572.94068847"
"G00666EC","Hex(6)HexNAc(6)dHex(3)NeuAc(3) % 3520.26371785"
"G00667RI","Hex(7) % 1152.3803292"
"G00670OT","Hex(5)HexNAc(5) % 1843.67154523"
"G00672PE","Hex(1)HexNAc(1)dHex(1)NeuAc(1)S(1) % 900.2529009"
"G00673KJ","Hex(5)HexNAc(2)NeuGc(1) % 1541.52375867"
"G00674TY","Hex(2)HexNAc(1) % 545.195584305"
"G00675GF","Hex(5)HexNAc(4)dHex(3) % 2078.76589923"
"G00682IE","Hex(1)HexNAc(1) % 383.142760805"
"G00688XN","Hex(6)HexNAc(4)dHex(1) % 1948.70290499"
"G00691LW","Hex(1)dHex(1) % 326.12129707"
"G00691NS","Hex(8)HexNAc(7)dHex(1) % 2882.0466698"
"G00692HC","Hex(3)HexNAc(5)dHex(1)aldi(1) % 1667.63945717"
"G00695FC","Hex(5)HexNAc(5)dHex(2) % 2135.78736296"
"G00695JO","Hex(3)HexNAc(5)dHex(1) % 1665.6238071"
"G00702NP","Hex(6)HexNAc(2) % 1396.48625091"
"G00705XW","Hex(2)HexNAc(2)dHex(1)S(3)aldi(1) % 1136.21895962"
"G00706AL","Hex(6)HexNAc(5)NeuAc(3)aldi(1) % 2881.0262687"
"G00706QN","Hex(3)HexNAc(3)dHex(2) % 1405.52297075"
"G00709CF","Hex(4)HexNAc(6)dHex(1)NeuAc(1) % 2321.85141983"
"G00709ZM","Hex(2) % 342.1162117"
"G00711NG","Hex(5) % 828.2746822"
"G00717KJ","Hex(6)HexNAc(3)aldi(1) % 1601.58127358"
"G00728SN","Hex(3)HexNAc(3)dHex(1)NeuAc(2) % 1841.65589516"
"G00729SA","Hex(2)HexNAc(4)dHex(2) % 1446.54951986"
"G00736XN","Hex(6) % 990.3275057"
"G00736YF","Hex(4)HexNAc(6)dHex(1)aldi(1) % 2032.77165327"
"G00738BQ","Hex(6)HexNAc(4)dHex(1)NeuAc(1) % 2239.79832162"
"G00741NZ","Hex(7)HexNAc(3) % 1761.61844701"
"G00743WU","Hex(3)HexNAc(6)dHex(1)NeuAc(1) % 2159.79859633"
"G00745GK","Hex(1)HexNAc(3) % 789.301506015"
"G00747UC","Hex(7)HexNAc(6) % 2370.85656483"
"G00754TS","Hex(2)HexNAc(2)dHex(2)S(1) % 1120.34758924"
"G00760ZJ","Hex(3) % 504.1690352"
"G00761OX","Hex(4) % 666.2218587"
"G00761TV","Hex(4)HexNAc(1) % 869.301231305"
"G00763JM","Hex(3)HexNAc(6)dHex(1) % 1868.7031797"
"G00774OZ","Hex(4)HexNAc(2)NeuAc(1) % 1363.47602054"
"G00774WE","Hex(4)HexNAc(4) % 1478.53934912"
"G00776MW","Hex(7)HexNAc(6)NeuAc(5) % 3826.333648"
"G00783PW","Hex(4)HexNAc(6)dHex(1) % 2030.7560032"
"G00784PW","Hex(3)HexNAc(4) % 1316.48652562"
"G00786XQ","Hex(4)HexNAc(3) % 1275.45997651"
"G00794UV","Hex(3)HexNAc(1)NeuAc(1)NeuGc(1) % 1305.4341557"
"G00797ZX","Hex(8)HexNAc(5)dHex(4) % 2914.06165121"
"G00798PL","Hex(9)HexNAc(2) % 1882.64472141"
"G00800WJ","Hex(6)HexNAc(5)dHex(1)NeuAc(2) % 2733.97311086"
"G00803PJ","Hex(6) % 990.3275057"
"G00805TZ","Hex(7)HexNAc(7)dHex(4) % 3158.16757291"
"G00814BW","Hex(6)HexNAc(5)dHex(1)NeuAc(3) % 3025.0685275"
"G00824LK","Hex(4)HexNAc(1)NeuGc(2) % 1483.48189383"
"G00826SV","Hex(5)HexNAc(5)dHex(1) % 1989.7294541"
"G00828QE","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G00830CM","Hex(5)HexNAc(5)NeuAc(1) % 2134.76696186"
"G00839XF","Hex(3)HexNAc(2)dHex(2) % 1202.44359815"
"G00841YH","Hex(4)HexNAc(2)NeuAc(3) % 1945.66685382"
"G00842OY","Hex(6)HexNAc(4)dHex(2) % 2094.76081386"
"G00845KS","Hex(4)HexNAc(1)NeuAc(1) % 1160.39664794"
"G00850LT","Hex(4)HexNAc(2) % 1072.38060391"
"G00851XQ","Hex(5)HexNAc(3)dHex(1) % 1583.57070888"
"G00852XI","Hex(2)HexNAc(4)dHex(1)aldi(1) % 1302.50726106"
"G00864TV","Hex(6)HexNAc(5)dHex(1) % 2151.78227759"
"G00866EV","Hex(2)HexNAc(2) % 748.27495691"
"G00868ZN","Hex(5)HexNAc(4) % 1640.59217262"
"G00868ZT","Hex(2)HexNAc(2) % 748.27495691"
"G00875VP","Hex(5)HexNAc(4)NeuAc(2) % 2222.78300589"
"G00876GU","Hex(9)HexNAc(2) % 1882.64472141"
"G00883DO","Hex(5)HexNAc(4) % 1640.59217262"
"G00883ZT","Hex(7)HexNAc(2) % 1558.53907441"
"G00887EN","Hex(4)HexNAc(2) % 1072.38060391"
"G00888JR","Hex(3)HexNAc(4)dHex(1)aldi(1) % 1464.56008456"
"G00891GP","Hex(2)HexNAc(2)NeuAc(1)aldi(1) % 1041.38602361"
"G00891MP","Hex(2) % 342.1162117"
"G00893FE","Hex(6)HexNAc(5)NeuAc(4)aldi(1) % 3172.12168533"
"G00895OR","Hex(4)HexNAc(6)dHex(1) % 2030.7560032"
"G00897BY","Hex(3)HexNAc(3) % 1113.40715301"
"G00899CT","Hex(3) % 504.1690352"
"G00900AZ","Hex(3)HexNAc(4)dHex(1) % 1462.54443449"
"G00901NZ","Hex(2)HexNAc(3)dHex(2) % 1243.47014726"
"G00903RX","HexNAc(1)HexA(1)S(1) % 477.078839955"
"G00909GK","Hex(3)HexNAc(5) % 1519.56589823"
"G00909PI","Hex(6)HexNAc(5)NeuAc(2) % 2587.915202"
"G00910WD","Hex(7)HexNAc(6)dHex(1)NeuAc(4)aldi(1) % 3683.31179031"
"G00912UN","Hex(5)HexNAc(4)NeuAc(2) % 2222.78300589"
"G00915DI","Hex(3)HexNAc(1)NeuAc(1) % 998.34382444"
"G00917AF","Hex(4)HexNAc(1) % 869.301231305"
"G00923KH","Hex(5)HexNAc(4)dHex(1)NeuAc(1)NeuGc(1) % 2384.83582939"
"G00924FH","Hex(2)HexNAc(2)dHex(1) % 894.33286578"
"G00926LC","Hex(3)HexNAc(6)dHex(1) % 1868.7031797"
"G00936LV","Hex(7) % 1152.3803292"
"G00936NZ","Hex(2)HexNAc(2)S(1)aldi(1) % 830.24742157"
"G00940RO","Hex(5)HexNAc(5)dHex(3)aldi(1) % 2283.86092191"
"G00944OL","Hex(3)HexNAc(3)dHex(1)NeuAc(2) % 1841.65589516"
"G00945TF","Hex(7)HexNAc(6)dHex(1)NeuAc(3)NeuGc(1) % 3697.29105487"
"G00948WV","Hex(5)HexNAc(6)dHex(1)NeuAc(2) % 2774.99965997"
"G00950FJ","Hex(5)HexNAc(5) % 1843.67154523"
"G00951UF","Hex(3)HexNAc(7) % 1925.72464343"
"G00955WX","Hex(6)HexNAc(5)NeuAc(1) % 2296.81978536"
"G00966RI","Hex(6)HexNAc(5) % 2005.72436873"
"G00969CV","Hex(4)HexNAc(3)dHex(1) % 1421.51788538"
"G00970CP","Hex(3)HexNAc(1)NeuAc(3) % 1580.53465771"
"G00972DY","Hex(6)HexNAc(2) % 1396.48625091"
"G00975ZH","Hex(3)HexNAc(2)NeuAc(1) % 1201.42319704"
"G00978GW","Hex(4)HexNAc(4)dHex(3)NeuAc(1) % 2207.80849236"
"G00978TF","Hex(4)HexNAc(3) % 1275.45997651"
"G00979XR","Hex(4)HexNAc(4) % 1478.53934912"
"G00982CE","Hex(5)HexNAc(8)dHex(1) % 2598.96757191"
"G00982QD","Hex(4)HexNAc(3) % 1275.45997651"
"G00983HB","Hex(5)HexNAc(2)dHex(1)aldi(1) % 1382.50698635"
"G00986YT","Hex(5)HexNAc(4) % 1640.59217262"
"G00987AB","Hex(1)HexNAc(1)NeuAc(1)S(1)aldi(1) % 756.2106421"
"G00994CC","Hex(7)HexNAc(6)dHex(3)NeuAc(1) % 3100.12570807"
"G00995HW","Hex(7)HexNAc(5)dHex(1) % 2313.8351011"
"G00996DG","Hex(5)HexNAc(8)dHex(1) % 2598.96757191"
"G00997UP","Hex(2)HexNAc(3)NeuGc(1) % 1258.44466078"
"G00998NI","Hex(5)HexNAc(4)dHex(1) % 1786.65008149"
"G01001RL","Hex(8)HexNAc(8)dHex(2) % 3231.18395128"
"G01010HI","Hex(1)HexNAc(1)dHex(1)NeuAc(1) % 820.29608631"
"G01010HW","Hex(3)HexNAc(5)dHex(1) % 1665.6238071"
"G01028CW","Hex(6)HexNAc(5)dHex(1)aldi(1) % 2153.79792767"
