"glytoucan_ac","sequence_byonic"
"G63411NB","Hex(3)HexNAc(3) % 1113.40715301"
"G63413QV","Hex(6)HexNAc(5)NeuAc(2) % 2587.915202"
"G63427CD","Hex(2)HexNAc(3)S(1)aldi(1) % 1033.32679418"
"G63428EY","Hex(5)HexNAc(4)dHex(1) % 1786.65008149"
"G63428PQ","Hex(8)HexNAc(2) % 1720.59189791"
"G63438EB","Hex(2)HexNAc(3)NeuAc(1) % 1242.44974615"
"G63441LH","Hex(6)HexNAc(6)dHex(3) % 2646.97746794"
"G63443GA","Hex(2)HexNAc(2)dHex(1)NeuAc(1) % 1185.42828241"
"G63444WV","Hex(2)HexNAc(3) % 951.354329515"
"G63445YU","Hex(7)HexNAc(6)dHex(1)NeuAc(4) % 3681.29614024"
"G63454TP","Hex(3)HexNAc(5)dHex(1)aldi(1) % 1667.63945717"
"G63455UI","Hex(7)HexNAc(3) % 1761.61844701"
"G63459ER","Hex(2)HexNAc(1) % 545.195584305"
"G63461XJ","Hex(1)HexNAc(2)dHex(1)aldi(1) % 734.29569235"
"G63462YW","Hex(3)HexNAc(5)dHex(1) % 1665.6238071"
"G63466HH","Hex(6)HexNAc(2) % 1396.48625091"
"G63467FF","Hex(4)HexNAc(1)dHex(1)NeuAc(2) % 1597.54997344"
"G63469RX","Hex(7)HexNAc(6)dHex(1) % 2516.9144737"
"G63473GZ","Hex(2)HexNAc(1)aldi(1) % 547.211234375"
"G63474NY","Hex(2)HexNAc(2)dHex(2)aldi(1) % 1042.40642472"
"G63477YX","Hex(3)HexNAc(2) % 910.32778041"
"G63480NF","Hex(4)HexNAc(5) % 1681.61872173"
"G63481MM","Hex(5)HexNAc(5)dHex(1)NeuAc(1) % 2280.82487073"
"G63491LI","Hex(6)HexNAc(5)dHex(1)NeuAc(1) % 2442.87769423"
"G63496FG","Hex(4)HexNAc(2)dHex(3) % 1510.55433052"
"G63498YL","Hex(3)HexNAc(2)NeuAc(2) % 1492.51861368"
"G63502NR","Hex(4)HexNAc(4)aldi(1) % 1480.55499919"
"G63514UL","Hex(4)HexNAc(1) % 869.301231305"
"G63519GO","Hex(1)HexNAc(2)NeuGc(1) % 893.312464675"
"G63520EZ","Hex(3)HexNAc(1)dHex(1) % 853.306316675"
"G63521CI","Hex(3)HexNAc(1)dHex(1)NeuAc(2) % 1435.49714995"
"G63536HB","Hex(6)HexNAc(2)dHex(1) % 1542.54415978"
"G63539LJ","HexNAc(4)HexA(3) % 1358.4243193"
"G63543FL","Hex(3)HexNAc(6)dHex(1)NeuAc(2) % 2450.89401297"
"G63547QM","Hex(6)HexNAc(5)dHex(1)NeuAc(3) % 3025.0685275"
"G63548GM","Hex(4)aldi(1) % 668.23750877"
"G63550TC","Hex(3)HexNAc(3)dHex(1)aldi(1) % 1261.48071195"
"G63556VQ","Hex(7)HexNAc(6)dHex(5)NeuAc(3) % 3974.43235908"
"G63560NE","Hex(3)HexNAc(1) % 707.248407805"
"G63564XP","HexNAc(2)HexA(2)S(2) % 936.14711521"
"G63565MO","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G63565UY","Hex(7)HexNAc(2) % 1558.53907441"
"G63567OG","Hex(7)HexNAc(6)dHex(1)NeuAc(4) % 3681.29614024"
"G63571FM","Hex(8)HexNAc(2) % 1720.59189791"
"G63574RK","Hex(11)HexNAc(2) % 2206.75036841"
"G63580II","Hex(2)HexNAc(3)S(1) % 1031.31114411"
"G63585HN","Hex(3)HexNAc(7)dHex(1) % 2071.78255231"
"G63590MI","Hex(1)HexNAc(1)S(2) % 543.056389985"
"G63596DU","Hex(4)HexNAc(6) % 1884.69809433"
"G63597ZG","Hex(1)HexNAc(2)dHex(1) % 732.28004228"
"G63600AJ","Hex(3)HexNAc(1)dHex(1)NeuAc(2) % 1435.49714995"
"G63607QJ","Hex(4)HexNAc(2)dHex(3)aldi(1) % 1512.56998059"
"G63610QZ","Hex(3)HexNAc(1) % 707.248407805"
"G63611ZF","Hex(2)dHex(1) % 488.17412057"
"G63612SE","Hex(6)HexNAc(5)dHex(4)aldi(1) % 2591.97165428"
"G63612VM","HexNAc(6) % 1236.48680033"
"G63614KK","Hex(3)HexNAc(1)dHex(3) % 1145.42213441"
"G63616MO","Hex(4)aldi(1) % 668.23750877"
"G63617UP","Hex(6)HexNAc(5) % 2005.72436873"
"G63621KM","Hex(3)HexNAc(1)dHex(1)NeuAc(1) % 1144.40173331"
"G63621UN","Hex(3)HexNAc(2) % 910.32778041"
"G63622FJ","Hex(3)HexNAc(3)dHex(2) % 1405.52297075"
"G63628AV","Hex(2)HexNAc(2) % 748.27495691"
"G63629SO","HexNAc(2)HexA(1) % 600.20139797"
"G63630KO","Hex(7) % 1152.3803292"
"G63640QH","Hex(4)HexNAc(4) % 1478.53934912"
"G63641CY","HexNAc(4)HexA(3) % 1358.4243193"
"G63644AZ","Hex(7)HexNAc(6)dHex(1) % 2516.9144737"
"G63646FQ","Hex(1)HexNAc(1)NeuGc(1) % 690.23309207"
"G63648EU","Hex(5)HexNAc(4)NeuAc(2) % 2222.78300589"
"G63648XO","Hex(5)HexNAc(4)dHex(1)NeuAc(3) % 2659.9363314"
"G63651JH","Hex(5)HexNAc(7)dHex(1)NeuAc(2) % 2978.07903257"
"G63659FK","Hex(8)HexNAc(6)dHex(1) % 2678.9672972"
"G63660JP","Hex(2)HexNAc(1)dHex(1) % 691.253493175"
"G63661KP","Hex(3) % 504.1690352"
"G63664GB","Hex(5)HexNAc(5) % 1843.67154523"
"G63665MU","Hex(6)HexNAc(5)NeuAc(3) % 2879.01061863"
"G63670YV","Hex(3)dHex(2) % 796.28485294"
"G63677TI","Hex(6) % 990.3275057"
"G63679SF","Hex(6)HexNAc(5)NeuAc(3) % 2879.01061863"
"G63679ZU","Hex(2)HexNAc(1) % 545.195584305"
"G63681JP","Hex(3)HexNAc(5)dHex(1) % 1665.6238071"
"G63683AB","Hex(1)HexNAc(2)dHex(1) % 732.28004228"
"G63690PS","Hex(1)HexNAc(3)dHex(1)S(1) % 1015.31622948"
"G63692BY","Hex(9)HexNAc(5)dHex(1) % 2637.9407481"
"G63699VG","Hex(3)HexNAc(2)dHex(2) % 1202.44359815"
"G63701SG","Hex(5)HexNAc(5)dHex(1) % 1989.7294541"
"G63708BZ","Hex(3)HexNAc(7) % 1925.72464343"
"G63710WS","Hex(6)HexNAc(6)dHex(1) % 2354.8616502"
"G63712AL","Hex(5)HexNAc(5)dHex(2) % 2135.78736296"
"G63714PL","Hex(4)HexNAc(7)dHex(1) % 2233.83537581"
"G63717BV","Hex(2)NeuAc(1) % 633.211628335"
"G63717SU","Hex(1)HexNAc(2)NeuAc(1) % 877.317550045"
"G63718EA","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G63720BV","Hex(3)HexNAc(4)dHex(1) % 1462.54443449"
"G63721FF","Hex(2)HexNAc(1)NeuAc(2) % 1127.38641757"
"G63722ZU","Hex(3)HexNAc(4)dHex(1)aldi(1) % 1464.56008456"
"G63724PK","Hex(8)HexNAc(7)dHex(3)NeuAc(4) % 4338.54415409"
"G63727MV","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G63727WO","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G63728VN","Hex(3)HexNAc(2)HexA(1) % 1086.35986847"
"G63734KU","Hex(4)HexNAc(6)dHex(1) % 2030.7560032"
"G63736MO","Hex(4)HexNAc(5)S(1) % 1761.57553632"
"G63738PK","Hex(9)HexNAc(7)dHex(1)aldi(1) % 3046.11514338"
"G63738TV","Hex(2)HexNAc(2)dHex(1) % 894.33286578"
"G63739LG","Hex(2)HexNAc(2)dHex(1)S(2)aldi(1) % 1056.26214503"
"G63743OJ","Hex(7)HexNAc(1) % 1355.45970181"
"G63747NV","Hex(1) % 180.0633882"
"G63748AU","Hex(3)HexNAc(3)NeuAc(1)S(3)aldi(1) % 1646.38866349"
"G63748FT","Hex(1)HexNAc(1)S(2) % 543.056389985"
"G63754TT","Hex(3)HexNAc(3)NeuAc(2)aldi(1) % 1697.61363636"
"G63760GT","Hex(8)HexNAc(5)dHex(2)NeuAc(1) % 2913.0412501"
"G63763GB","Hex(3)HexNAc(1)dHex(1) % 853.306316675"
"G63768EQ","Hex(3)HexNAc(1)NeuAc(1) % 998.34382444"
"G63774AQ","Hex(2)HexNAc(2) % 748.27495691"
"G63776KU","Hex(8)HexNAc(3) % 1923.67127052"
"G63781UL","Hex(6)HexNAc(7)dHex(1)NeuAc(4) % 3722.32268935"
"G63782AK","Hex(6)HexNAc(6)NeuAc(2) % 2790.9945746"
"G63783RZ","Hex(6)HexNAc(5)dHex(1)NeuGc(2) % 2765.96294012"
"G63787FE","Hex(3)HexNAc(3)dHex(1)NeuAc(1) % 1550.56047852"
"G63787RZ","Hex(4)HexNAc(4)dHex(1)NeuAc(1) % 1915.69267463"
"G63792JF","Hex(3) % 504.1690352"
"G63792RQ","Hex(8)HexNAc(2) % 1720.59189791"
"G63794QO","Hex(4)HexNAc(4)NeuAc(1) % 1769.63476576"
"G63802EG","Hex(5)HexNAc(2) % 1234.43342741"
"G63803GG","Hex(3)HexNAc(8)dHex(1) % 2274.86192491"
"G63807DH","Hex(6)HexNAc(6)dHex(1)NeuAc(3) % 3228.14790011"
"G63813EJ","Hex(3)HexNAc(1)S(2) % 867.162036985"
"G63814KS","Hex(5)HexNAc(5) % 1843.67154523"
"G63814RL","Hex(4)HexNAc(5)NeuAc(1) % 1972.71413836"
"G63820GM","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G63821IF","Hex(2)HexNAc(3) % 951.354329515"
"G63821SF","Hex(6)HexNAc(4)dHex(1)NeuGc(1) % 2255.79323626"
"G63828QT","Hex(4)HexNAc(2)NeuGc(1) % 1379.47093518"
"G63830BN","Hex(3)HexNAc(2)dHex(1) % 1056.38568928"
"G63830GM","HexNAc(2)aldi(1) % 426.18495998"
"G63831YE","Hex(10)HexNAc(1) % 1841.61817231"
"G63833WU","Hex(3)HexNAc(1) % 707.248407805"
"G63838JW","Hex(6)HexNAc(4) % 1802.64499612"
"G63840IZ","Hex(4)HexNAc(3)dHex(1) % 1421.51788538"
"G63842WA","Hex(3)HexNAc(3) % 1113.40715301"
"G63850ZW","Hex(6)HexNAc(7)dHex(1)NeuAc(4) % 3722.32268935"
"G63852VW","Hex(6)HexNAc(4)dHex(1)NeuAc(1) % 2239.79832162"
"G63858YS","Hex(2)HexNAc(3)dHex(1) % 1097.41223838"
"G63861JU","Hex(2)HexNAc(1)aldi(1) % 547.211234375"
"G63861LZ","Hex(2)HexNAc(3) % 951.354329515"
"G63865HO","Hex(9)HexNAc(7) % 2898.04158444"
"G63871ZT","Hex(7)HexNAc(2) % 1558.53907441"
"G63872CO","Hex(1)dHex(1) % 326.12129707"
"G63889NK","Hex(7)HexNAc(6)dHex(1) % 2516.9144737"
"G63898DA","Hex(4)HexNAc(5)dHex(1)S(1) % 1907.63344519"
"G63899VB","Hex(3)HexNAc(6) % 1722.64527083"
"G63900EL","Hex(4)HexNAc(2)dHex(3)aldi(1) % 1512.56998059"
"G63902JF","HexNAc(1)HexA(1) % 397.122025365"
"G63902MT","Hex(6)HexNAc(5)dHex(2)NeuAc(3) % 3171.12643637"
"G63904JQ","Hex(7)HexNAc(4)NeuAc(1) % 2255.79323626"
"G63904XT","Hex(5)HexNAc(4)dHex(4) % 2224.8238081"
"G63907MA","Hex(4)HexNAc(5)NeuAc(1)S(1) % 2052.67095295"
"G63919RG","Hex(6)HexNAc(5)NeuAc(3) % 2879.01061863"
"G63923YN","Hex(7)HexNAc(2) % 1558.53907441"
"G63932XL","Hex(6)HexNAc(5)dHex(1)NeuAc(1) % 2442.87769423"
"G63932ZM","Hex(2)HexNAc(3)dHex(2)S(1) % 1323.42696185"
"G63933WL","Hex(8)HexNAc(1) % 1517.51252531"
"G63939TP","Hex(5)HexNAc(5)dHex(2)NeuAc(1) % 2426.8827796"
"G63940OW","Hex(3)HexNAc(2) % 910.32778041"
"G63946NP","Hex(8)HexNAc(8)dHex(1) % 3085.12604241"
"G63946SF","Hex(2)HexNAc(3)dHex(1)S(1) % 1177.36905297"
"G63949RX","Hex(7)HexNAc(5)NeuAc(3) % 3041.06344213"
"G63952EJ","Hex(1)HexNAc(3)S(1) % 869.258320605"
"G63952ML","Hex(4)HexNAc(2)NeuAc(1) % 1363.47602054"
"G63954IW","Hex(3)HexNAc(1)NeuAc(1) % 998.34382444"
"G63966LT","Hex(2)HexNAc(2)dHex(1) % 894.33286578"
"G63966XB","Hex(4)HexNAc(4)dHex(1)NeuAc(1)aldi(1) % 1917.7083247"
"G63974UB","Hex(2)HexNAc(2)dHex(1) % 894.33286578"
"G63976AE","Hex(2)HexNAc(3)dHex(2)S(1) % 1323.42696185"
"G63976LA","Hex(7)HexNAc(2) % 1558.53907441"
"G63976XX","Hex(6)HexNAc(8) % 2614.96248654"
"G63977XF","Hex(3) % 504.1690352"
"G63977YB","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G63978FG","Hex(3)HexNAc(3)dHex(1)aldi(1) % 1261.48071195"
"G63978ZE","Hex(3) % 504.1690352"
"G63980BQ","Hex(4)HexNAc(6)NeuAc(2) % 2466.8889276"
"G63981YU","Hex(5)HexNAc(3)dHex(1) % 1583.57070888"
"G63992GH","Hex(4)HexNAc(2)dHex(1) % 1218.43851278"
"G63993FI","Hex(4) % 666.2218587"
"G63998IX","Hex(4)HexNAc(2) % 1072.38060391"
"G64002SF","Hex(5)HexNAc(5)dHex(3)NeuAc(1) % 2572.94068847"
"G64003EJ","Hex(3) % 504.1690352"
"G64005GF","Hex(4)HexNAc(5) % 1681.61872173"
"G64009BY","Hex(4)HexNAc(3)dHex(1)NeuGc(1) % 1728.60821665"
"G64011FV","Hex(3)HexNAc(1)dHex(1) % 853.306316675"
"G64014BL","Hex(2) % 342.1162117"
"G64017CW","Hex(1)HexNAc(2) % 586.22213341"
"G64018KD","Hex(2)HexNAc(1)NeuAc(1) % 836.29100094"
"G64022EC","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G64023TF","Hex(3) % 504.1690352"
"G64024VG","Hex(5)HexNAc(2) % 1234.43342741"
"G64025NR","Hex(7)HexNAc(5) % 2167.77719222"
"G64029DP","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G64045WP","Hex(4)HexNAc(5)dHex(2)NeuAc(1) % 2264.8299561"
"G64048GU","Hex(6)HexNAc(5)dHex(1)NeuAc(2) % 2733.97311086"
"G64050LH","Hex(1)HexNAc(1)NeuAc(1) % 674.23817744"
"G64050XD","Hex(4)HexNAc(2)NeuAc(1) % 1363.47602054"
"G64061QG","Hex(2)HexNAc(2) % 748.27495691"
"G64063RA","Hex(2)P(1) % 422.082542625"
"G64067YC","Hex(8)HexNAc(2) % 1720.59189791"
"G64076LG","Hex(6)HexNAc(5)dHex(1)NeuAc(2) % 2733.97311086"
"G64077VW","Hex(8)HexNAc(5) % 2329.83001573"
"G64078DL","Hex(4)HexNAc(4)dHex(1)NeuAc(1) % 1915.69267463"
"G64079RT","Hex(3) % 504.1690352"
"G64085NR","Hex(7)HexNAc(6)dHex(1)aldi(1) % 2518.93012377"
"G64087OP","Hex(3)HexNAc(2) % 910.32778041"
"G64089BY","HexNAc(2)dHex(1) % 570.22721878"
"G64091KS","HexNAc(1) % 221.089937305"
"G64098LT","Hex(5)HexNAc(3) % 1437.51280002"
"G64098MP","Hex(6)HexNAc(5)dHex(1) % 2151.78227759"
"G64102JR","Hex(2)HexNAc(4)NeuAc(3) % 2027.71995203"
"G64102SZ","Hex(12)HexNAc(2) % 2368.80319191"
"G64112PJ","Hex(7)HexNAc(6)dHex(1)NeuAc(3)NeuGc(1) % 3697.29105487"
"G64122IC","Hex(4)HexNAc(4)dHex(2)aldi(1) % 1772.67081693"
"G64123CD","Hex(3)HexNAc(3)dHex(2) % 1405.52297075"
"G64123ZS","Hex(2)HexNAc(4) % 1154.43370212"
"G64126JS","Hex(4)HexNAc(6)dHex(1) % 2030.7560032"
"G64127GJ","Hex(5)HexNAc(6)dHex(2) % 2338.86673557"
"G64128KF","Hex(1)HexNAc(2)S(2)aldi(1) % 748.15141266"
"G64130AC","Hex(6)HexNAc(6)dHex(2)NeuAc(1) % 2792.0149757"
"G64132UH","Hex(5)HexNAc(4)dHex(1)NeuAc(2) % 2368.84091476"
"G64138YC","Hex(6)HexNAc(2) % 1396.48625091"
"G64139XJ","Hex(4)HexNAc(5)dHex(1) % 1827.6766306"
"G64144LP","Hex(6)HexNAc(3)dHex(1)NeuAc(1) % 2036.71894902"
"G64145OG","Hex(5)HexNAc(3)dHex(3) % 1875.68652662"
"G64157NZ","Hex(3)HexNAc(5)NeuAc(5)aldi(1) % 2977.05863147"
"G64160PL","Hex(7)HexNAc(6)dHex(1)NeuAc(3)S(1) % 3470.15753819"
"G64161CC","Hex(5)HexNAc(4)dHex(1)NeuGc(1) % 2093.74041275"
"G64161DQ","Hex(3)HexN(1) % 665.237843105"
"G64162JC","Hex(3)HexNAc(2)dHex(2) % 1202.44359815"
"G64164CA","Hex(1)HexNAc(2)NeuAc(1)aldi(1) % 879.333200115"
"G64165TJ","Hex(3)HexNAc(3)dHex(2) % 1405.52297075"
"G64168EM","Hex(2) % 342.1162117"
"G64171LP","Hex(1)HexNAc(3) % 789.301506015"
"G64175SO","Hex(7)HexNAc(6)dHex(1)aldi(1) % 2518.93012377"
"G64176BH","Hex(4)HexNAc(2)dHex(1) % 1218.43851278"
"G64181RO","Hex(3)HexNAc(2)dHex(1) % 1056.38568928"
"G64181WT","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G64183CB","Hex(3)HexNAc(2)NeuAc(1) % 1201.42319704"
"G64185VP","Hex(6) % 990.3275057"
"G64186MJ","Hex(4)HexNAc(4)S(1) % 1558.49616371"
"G64188CP","Hex(5)HexNAc(5)dHex(2) % 2135.78736296"
"G64189GC","Hex(3)HexNAc(1)NeuAc(2) % 1289.43924107"
"G64193FB","Hex(4)HexNAc(2)dHex(1)NeuAc(2) % 1800.62934605"
"G64195KC","Hex(12)HexNAc(2) % 2368.80319191"
"G64204OL","Hex(4)HexNAc(4)dHex(1)NeuAc(1) % 1915.69267463"
"G64206XB","Hex(4)HexNAc(4) % 1478.53934912"
"G64208CW","Hex(3)HexNAc(2) % 910.32778041"
"G64223CQ","Hex(3)HexNAc(1) % 707.248407805"
"G64225SR","Hex(6)HexNAc(6)dHex(1)NeuAc(2) % 2937.05248347"
"G64227KZ","Hex(6)HexNAc(4)dHex(1) % 1948.70290499"
"G64227LK","Hex(6)HexNAc(6)dHex(1)NeuAc(1)NeuGc(1) % 2953.0473981"
"G64228KO","Hex(3)HexNAc(1)dHex(1) % 853.306316675"
"G64236WJ","Hex(4)HexNAc(4)dHex(3)NeuAc(1) % 2207.80849236"
"G64239KZ","Hex(3)HexNAc(2)aldi(1) % 912.34343048"
"G64239ON","Hex(3)HexNAc(3)dHex(1)NeuAc(1) % 1550.56047852"
"G64252WT","Hex(2)HexNAc(4)dHex(1)NeuAc(2)aldi(1) % 1884.69809433"
"G64253RM","Hex(3)HexNAc(1)dHex(1) % 853.306316675"
"G64259JK","Hex(7) % 1152.3803292"
"G64259ZR","Hex(6)HexNAc(4)NeuAc(3) % 2675.93124602"
"G64260NK","Hex(6) % 990.3275057"
"G64261IK","Hex(7)HexNAc(2) % 1558.53907441"
"G64262FG","Hex(2)HexNAc(1)NeuAc(2) % 1127.38641757"
"G64263HW","Hex(1)HexNAc(1)dHex(1) % 529.200669675"
"G64271BN","Hex(4)HexNAc(2)dHex(2) % 1364.49642165"
"G64271PC","Hex(8)HexNAc(7) % 2735.98876094"
"G64272SY","Hex(3)HexNAc(1) % 707.248407805"
"G64275UO","Hex(4)HexNAc(5)NeuAc(1)NeuGc(1) % 2279.80446962"
"G64276SW","Hex(3)HexNAc(3)dHex(1) % 1259.46506188"
"G64278AC","Hex(4)HexNAc(2)dHex(2)aldi(1) % 1366.51207172"
"G64282SO","Hex(6)HexNAc(5)dHex(1) % 2151.78227759"
"G64285PF","Hex(2)HexNAc(1) % 545.195584305"
"G64289QQ","Hex(5)HexNAc(3)dHex(2) % 1729.62861776"
"G64290CA","Hex(5)HexNAc(5)dHex(1) % 1989.7294541"
"G64296KS","Hex(3)HexNAc(2)dHex(1)aldi(1) % 1058.40133935"
"G64301WI","HexNAc(2)NeuAc(1) % 715.264726545"
"G64301WQ","Hex(3)HexNAc(1)NeuAc(1) % 998.34382444"
"G64305XQ","Hex(3)HexNAc(4)dHex(2) % 1608.60234336"
"G64311TT","Hex(3)HexNAc(2)dHex(2) % 1202.44359815"
"G64313PA","Hex(1)HexNAc(1)dHex(1) % 529.200669675"
"G64315DN","Hex(3)HexNAc(1) % 707.248407805"
"G64324VB","Hex(3)HexNAc(4)dHex(1) % 1462.54443449"
"G64325VG","Hex(6) % 990.3275057"
"G64327YL","Hex(5)HexNAc(4)dHex(1)S(1) % 1866.60689608"
"G64330NA","Hex(6)HexNAc(3)NeuAc(1) % 1890.66104015"
"G64334QQ","Hex(7)HexNAc(2) % 1558.53907441"
"G64343WH","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G64346BI","Hex(1)HexNAc(1) % 383.142760805"
"G64349AC","Hex(1)dHex(1)aldi(1) % 328.13694714"
"G64351DA","Hex(1)HexNAc(1)S(1) % 463.099575395"
"G64354IV","Hex(1)HexNAc(2) % 586.22213341"
"G64357FQ","Hex(5)HexNAc(4)NeuAc(1)S(1) % 2011.64440384"
"G64357NA","Hex(7)HexNAc(5)dHex(1) % 2313.8351011"
"G64366DK","Hex(6)HexNAc(4)dHex(1) % 1948.70290499"
"G64384IL","Hex(6)HexNAc(5)NeuAc(3) % 2879.01061863"
"G64386MO","Hex(7)HexNAc(2) % 1558.53907441"
"G64388ER","Hex(3)HexNAc(1)dHex(2) % 999.364225545"
"G64388NA","Hex(5)HexNAc(5)dHex(3)NeuAc(1) % 2572.94068847"
"G64389SF","Hex(6)HexNAc(5)dHex(1)NeuAc(3)S(1)aldi(1) % 3107.04099216"
"G64389UN","Hex(6)HexNAc(5)NeuAc(3)aldi(1) % 2881.0262687"
"G64394MX","Hex(7)HexNAc(6)dHex(1)NeuAc(2) % 3099.10530697"
"G64398GR","Hex(7)HexNAc(7)NeuAc(1)S(3) % 3104.90179784"
"G64399AZ","Hex(5)HexNAc(3)dHex(2) % 1729.62861776"
"G64400CB","Hex(3)HexNAc(1) % 707.248407805"
"G64401WT","Hex(9)HexNAc(5)dHex(1)aldi(1) % 2639.95639816"
"G64402PV","Hex(4)HexNAc(1) % 869.301231305"
"G64403MT","Hex(4)HexNAc(3) % 1275.45997651"
"G64403YS","Hex(3) % 504.1690352"
"G64404HO","Hex(2)HexNAc(2)dHex(2)NeuAc(1)aldi(1) % 1333.50184135"
"G64404PV","Hex(3) % 504.1690352"
"G64404VY","Hex(1)HexNAc(1)dHex(1)S(1) % 609.157484265"
"G64407XK","Hex(2)HexNAc(3)dHex(4) % 1535.585965"
"G64409MC","Hex(3)HexNAc(4)dHex(1)NeuAc(1) % 1753.63985113"
"G64411TU","Hex(11)HexNAc(2) % 2206.75036841"
"G64414VV","Hex(6)HexNAc(5) % 2005.72436873"
"G64418LU","Hex(6)HexNAc(5)dHex(2)NeuAc(3) % 3171.12643637"
"G64418SR","Hex(3)HexNAc(4)dHex(2) % 1608.60234336"
"G64424PR","Hex(5)HexNAc(6)dHex(1) % 2192.8088267"
"G64427XY","Hex(4)HexNAc(1)dHex(1) % 1015.35914017"
"G64429OW","Hex(3)HexNAc(7) % 1925.72464343"
"G64433JO","Hex(4)HexNAc(1)NeuAc(1) % 1160.39664794"
"G64435UX","Hex(5)HexNAc(4)dHex(2)NeuAc(2) % 2514.89882363"
"G64439DM","Hex(5)HexNAc(6)dHex(2) % 2338.86673557"
"G64448TS","Hex(2)HexNAc(2)NeuAc(2)S(1)aldi(1) % 1412.43825484"
"G64450GG","Hex(8)HexNAc(5)dHex(3)aldi(1) % 2770.0193924"
"G64450LQ","HexNAc(1)NeuAc(1) % 512.18535394"
"G64454AV","Hex(2)HexNAc(2)dHex(2) % 1040.39077465"
"G64458EC","Hex(2)HexNAc(2)dHex(1) % 894.33286578"
"G64459DC","Hex(3)HexNAc(2) % 910.32778041"
"G64462FL","Hex(8)HexNAc(2) % 1720.59189791"
"G64463IC","Hex(3)HexNAc(4)dHex(1)aldi(1) % 1464.56008456"
"G64466WK","Hex(3) % 504.1690352"
"G64468GG","Hex(2)HexNAc(2)dHex(1) % 894.33286578"
"G64468KS","Hex(4)HexNAc(3)dHex(2) % 1567.57579425"
"G64470PI","Hex(4)HexNAc(6)dHex(1)NeuAc(1)S(1) % 2401.80823443"
"G64481DJ","Hex(3)HexNAc(3) % 1113.40715301"
"G64482PB","Hex(1)HexNAc(2)NeuAc(1) % 877.317550045"
"G64484II","Hex(3) % 504.1690352"
"G64485VT","Hex(4)HexNAc(4) % 1478.53934912"
"G64490LR","Hex(6)HexNAc(5)NeuAc(1)NeuGc(1) % 2603.91011663"
"G64490RT","Hex(6)HexNAc(6)dHex(1) % 2354.8616502"
"G64492JI","Hex(3)HexNAc(4)dHex(1)S(1)aldi(1) % 1544.51689915"
"G64496AO","Hex(2)HexNAc(2)NeuAc(1)S(3)aldi(1) % 1281.25646738"
"G64500KY","Hex(3) % 504.1690352"
"G64501OO","Hex(5)HexNAc(4)dHex(1)NeuAc(2) % 2368.84091476"
"G64504HS","Hex(7)HexNAc(11)dHex(4) % 3970.48506334"
"G64512RX","Hex(5)HexNAc(3)dHex(2)NeuAc(1) % 2020.72403439"
"G64514KF","Hex(6)HexNAc(4) % 1802.64499612"
"G64518MA","Hex(3)HexNAc(3)NeuAc(1) % 1404.50256965"
"G64518MK","Hex(3)HexNAc(3)dHex(2) % 1405.52297075"
"G64527IJ","Hex(1)HexNAc(1)NeuGc(1) % 690.23309207"
"G64527OM","Hex(8)HexNAc(2) % 1720.59189791"
"G64529AX","Hex(4)HexNAc(2)NeuAc(1) % 1363.47602054"
"G64530AY","NeuAc(2) % 600.20139797"
"G64535ZF","Hex(3)HexNAc(3)S(2)aldi(1) % 1275.33643226"
"G64538MP","Hex(6)HexNAc(3)NeuAc(1) % 1890.66104015"
"G64538ZR","Hex(4)HexNAc(6) % 1884.69809433"
"G64541LV","Hex(3)HexNAc(4)dHex(1) % 1462.54443449"
"G64547NU","Hex(3) % 504.1690352"
"G64548HA","Hex(1)HexNAc(2) % 586.22213341"
"G64553RA","Hex(1)HexNAc(2)NeuAc(1) % 877.317550045"
"G64555FT","Hex(5)HexNAc(4)dHex(1)NeuAc(1) % 2077.74549812"
"G64563CQ","Hex(3)HexNAc(3)dHex(1)NeuAc(2) % 1841.65589516"
"G64566OC","Hex(3)HexNAc(3)NeuAc(2)S(1)aldi(1) % 1777.57045095"
"G64570KJ","Hex(6) % 990.3275057"
"G64574RC","Hex(2)HexNAc(2)dHex(1)aldi(1) % 896.34851585"
"G64574TK","Hex(8)HexNAc(2) % 1720.59189791"
"G64575NF","Hex(8)HexNAc(8)dHex(1) % 3085.12604241"
"G64577HA","Hex(2)HexNAc(3)dHex(1)NeuAc(1)S(1) % 1468.46446961"
"G64581FT","Hex(1)HexNAc(3)dHex(1) % 935.359414885"
"G64581RP","HexNAc(1) % 221.089937305"
"G64582TJ","Hex(7)HexNAc(2)dHex(1) % 1704.59698328"
"G64586PM","Hex(7)HexNAc(6)NeuAc(2) % 2953.0473981"
"G64591MN","Hex(2)HexNAc(3)dHex(3) % 1389.52805612"
"G64592EN","Hex(6)HexNAc(5) % 2005.72436873"
